CAMR:IN20:186:R_DIST,Pulse_length,FBCK:BCI0:1:CHRG_S,SOLN:IN20:121:BACT,QUAD:IN20:121:BACT,QUAD:IN20:122:BACT,ACCL:IN20:300:L0A_ADES,ACCL:IN20:300:L0A_PDES,ACCL:IN20:400:L0B_ADES,ACCL:IN20:400:L0B_PDES,QUAD:IN20:361:BACT,QUAD:IN20:371:BACT,QUAD:IN20:425:BACT,QUAD:IN20:441:BACT,QUAD:IN20:511:BACT,QUAD:IN20:525:BACT,OTRS:IN20:621:XRMS,OTRS:IN20:621:YRMS
423.867825,1.8550514181818183,0.25,0.46,0.0144,0.011785,58.0,-9.53597349,70.0,9.85566222,-3.3918831,2.7223251,-2.1743071,-0.0156106,2.8486521,-2.7046297,267.6552422883274,151.44624670395115
423.867825,1.8550514181818183,0.25,0.46,0.0144,0.011785,58.0,-9.53597349,70.0,9.85566222,-3.3918831,2.7223251,-2.1743071,-0.0156106,2.8486521,-2.7046297,236.37133836730757,1247.5742667700385
423.867825,1.8550514181818183,0.25,0.46222222222222226,0.0144,0.011785,58.0,-9.53597349,70.0,9.85566222,-3.3918831,2.7223251,-2.1743071,-0.0156106,2.8486521,-2.7046297,209.0591421179514,689.0333500916302
423.867825,1.8550514181818183,0.25,0.46444444444444444,0.0144,0.011785,58.0,-9.53597349,70.0,9.85566222,-3.3918831,2.7223251,-2.1743071,-0.0156106,2.8486521,-2.7046297,174.2909193786008,419.7277892140326
423.867825,1.8550514181818183,0.25,0.4666666666666667,0.0144,0.011785,58.0,-9.53597349,70.0,9.85566222,-3.3918831,2.7223251,-2.1743071,-0.0156106,2.8486521,-2.7046297,155.71884160417292,373.03035327527
423.867825,1.8550514181818183,0.25,0.4688888888888889,0.0144,0.011785,58.0,-9.53597349,70.0,9.85566222,-3.3918831,2.7223251,-2.1743071,-0.0156106,2.8486521,-2.7046297,153.4415667239201,232.07239603819485
423.867825,1.8550514181818183,0.25,0.4711111111111111,0.0144,0.011785,58.0,-9.53597349,70.0,9.85566222,-3.3918831,2.7223251,-2.1743071,-0.0156106,2.8486521,-2.7046297,133.18921081392153,147.9335433347147
423.867825,1.8550514181818183,0.25,0.47333333333333333,0.0144,0.011785,58.0,-9.53597349,70.0,9.85566222,-3.3918831,2.7223251,-2.1743071,-0.0156106,2.8486521,-2.7046297,105.32689140587328,100.48243195041555
423.867825,1.8550514181818183,0.25,0.47555555555555556,0.0144,0.011785,58.0,-9.53597349,70.0,9.85566222,-3.3918831,2.7223251,-2.1743071,-0.0156106,2.8486521,-2.7046297,85.81662602938036,74.09023621876005
423.867825,1.8550514181818183,0.25,0.47777777777777775,0.0144,0.011785,58.0,-9.53597349,70.0,9.85566222,-3.3918831,2.7223251,-2.1743071,-0.0156106,2.8486521,-2.7046297,118.05686655675606,70.18686294310594
423.867825,1.8550514181818183,0.25,0.48,0.0144,0.011785,58.0,-9.53597349,70.0,9.85566222,-3.3918831,2.7223251,-2.1743071,-0.0156106,2.8486521,-2.7046297,191.0174593316648,104.69782539960546
423.867825,1.8550514181818183,0.25,0.467,0.0144,0.011785,58.0,-9.53597349,70.0,9.85566222,-3.3918831,2.7223251,-2.1743071,-0.0156106,2.8486521,-2.7046297,167.21432084940514,370.07666239444495
423.867825,1.8550514181818183,0.25,0.46900000000000003,0.0144,0.011785,58.0,-9.53597349,70.0,9.85566222,-3.3918831,2.7223251,-2.1743071,-0.0156106,2.8486521,-2.7046297,150.102902845998,215.85431055240826
423.867825,1.8550514181818183,0.25,0.47100000000000003,0.0144,0.011785,58.0,-9.53597349,70.0,9.85566222,-3.3918831,2.7223251,-2.1743071,-0.0156106,2.8486521,-2.7046297,129.15979164393988,141.8564072334765
423.867825,1.8550514181818183,0.25,0.47300000000000003,0.0144,0.011785,58.0,-9.53597349,70.0,9.85566222,-3.3918831,2.7223251,-2.1743071,-0.0156106,2.8486521,-2.7046297,109.72203638015586,99.64365282487854
423.867825,1.8550514181818183,0.25,0.47500000000000003,0.0144,0.011785,58.0,-9.53597349,70.0,9.85566222,-3.3918831,2.7223251,-2.1743071,-0.0156106,2.8486521,-2.7046297,88.14467043671378,76.99747232380129
423.867825,1.8550514181818183,0.25,0.477,0.0144,0.011785,58.0,-9.53597349,70.0,9.85566222,-3.3918831,2.7223251,-2.1743071,-0.0156106,2.8486521,-2.7046297,104.69027643520768,67.60190142765808
423.867825,1.8550514181818183,0.25,0.479,0.0144,0.011785,58.0,-9.53597349,70.0,9.85566222,-3.3918831,2.7223251,-2.1743071,-0.0156106,2.8486521,-2.7046297,150.44037539752196,81.13657847385738
423.867825,1.8550514181818183,0.25,0.481,0.0144,0.011785,58.0,-9.53597349,70.0,9.85566222,-3.3918831,2.7223251,-2.1743071,-0.0156106,2.8486521,-2.7046297,225.29715297764835,122.10770034863087
423.867825,1.8550514181818183,0.25,0.483,0.0144,0.011785,58.0,-9.53597349,70.0,9.85566222,-3.3918831,2.7223251,-2.1743071,-0.0156106,2.8486521,-2.7046297,291.4257764904382,176.7603497810974
423.867825,1.8550514181818183,0.25,0.485,0.0144,0.011785,58.0,-9.53597349,70.0,9.85566222,-3.3918831,2.7223251,-2.1743071,-0.0156106,2.8486521,-2.7046297,499.5574471194833,267.7103342947493
423.867825,1.8550514181818183,0.25,0.47,0.0144,0.011785,58.0,-9.53597349,70.0,9.85566222,-3.3918831,2.7223251,-2.1743071,-0.0156106,2.8486521,-2.7046297,142.69661201479636,181.51667486341503
423.867825,1.8550514181818183,0.25,0.4713333333333333,0.0144,0.011785,58.0,-9.53597349,70.0,9.85566222,-3.3918831,2.7223251,-2.1743071,-0.0156106,2.8486521,-2.7046297,133.7887576717134,134.44632813920583
423.867825,1.8550514181818183,0.25,0.4726666666666666,0.0144,0.011785,58.0,-9.53597349,70.0,9.85566222,-3.3918831,2.7223251,-2.1743071,-0.0156106,2.8486521,-2.7046297,113.86513513106244,109.27057080151374
423.867825,1.8550514181818183,0.25,0.474,0.0144,0.011785,58.0,-9.53597349,70.0,9.85566222,-3.3918831,2.7223251,-2.1743071,-0.0156106,2.8486521,-2.7046297,95.54799668056695,88.89664437157899
